RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits)
1,65,54,11,5.0,59,52,7,5.0,1536,1272,1888,1664
2,64,55,9,5.0,59,52,7,5.0,1520,1304,1888,1664
3,63,55,8,5.0,56,50,6,5.0,1488,1296,1792,1600
4,64,55,9,5.0,58,53,5,5.0,1672,1456,1856,1696
5,64,55,9,5.0,60,55,5,5.0,1544,1328,1920,1760
6,66,55,11,5.0,57,53,4,5.0,1544,1280,1824,1696
7,64,55,9,5.0,56,52,4,5.0,1520,1304,1792,1664
8,65,57,8,5.0,58,53,5,5.0,1536,1344,1856,1696
9,64,55,9,5.0,57,52,5,5.0,1536,1320,1824,1664
10,63,54,9,5.0,58,52,6,5.0,1496,1280,1856,1664
